0,0.35,0.37,0.35,0.37,0.34,0.38,0.31,0.34,0.33,0.30,0.31
0.35,0,0.44,0.43,0.45,0.42,0.32,0.34,0.38,0.38,0.35,0.35
0.37,0.44,0,0.48,0.49,0.47,0.34,0.35,0.42,0.42,0.40,0.39
0.35,0.43,0.48,0,0.48,0.48,0.32,0.34,0.40,0.41,0.39,0.37
0.37,0.45,0.49,0.48,0,0.48,0.34,0.35,0.41,0.41,0.40,0.39
0.34,0.42,0.47,0.48,0.48,0,0.31,0.33,0.37,0.38,0.38,0.36
0.38,0.32,0.34,0.32,0.34,0.31,0,0.28,0.32,0.30,0.27,0.28
0.31,0.34,0.35,0.34,0.35,0.33,0.28,0,0.32,0.32,0.29,0.29
0.34,0.38,0.42,0.40,0.41,0.37,0.32,0.32,0,0.38,0.35,0.35
0.33,0.38,0.42,0.41,0.41,0.38,0.30,0.32,0.38,0,0.35,0.34
0.30,0.35,0.40,0.39,0.40,0.38,0.27,0.29,0.35,0.35,0,0.33
0.31,0.35,0.39,0.37,0.39,0.36,0.28,0.29,0.35,0.34,0.33,0
