1,0.32,0.19,0.33,0.41,0.28
0.32,1,0.45,0.69,0.52,0.42
0.19,0.45,1,0.48,0.4,0.14
0.33,0.69,0.48,1,0.52,0.34
0.41,0.52,0.4,0.52,1,0.38
0.28,0.42,0.14,0.34,0.38,1
