Buckets,Credit Risk Group,Concentration threshold (USD mm/ bp)
1,Sovereigns including central banks,0.49
2,Coporate enetites,0.22
3,Coporate enetites,0.22
4,Coporate enetites,0.22
5,Coporate enetites,0.22
6,Coporate enetites,0.22
7,Sovereigns including central banks,0.49
8,Coporate enetites,0.22
9,Coporate enetites,0.22
10,Coporate enetites,0.22
11,Coporate enetites,0.22
12,Coporate enetites,0.22
Residual,Not classified,0.22
